Project Name,Package Name,Architecture Smell,Cause of the Smell
.,com.Group11.soulfulplates.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthController; AuthControllerTest]; [CategoryController; CategoryControllerTest]; [MenuItemController; MenuItemControllerTest]; [OrderController; OrderControllerTest]; [OrderController.UpdateOrderStatusRequest]; [PaymentController; PaymentControllerTest]; [RatingController; RatingControllerTest]; [StoreController; StoreControllerTest]; [SubCategoryController; SubCategoryControllerTest]; [TransactionController; TransactionControllerTest]; [UserController; UserControllerTest]; [WishlistController; WishlistControllerTest]. LCC (Lack of Component Cohesion) = 0.52
.,com.Group11.soulfulplates.controllers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.payload.request; com.Group11.soulfulplates.services.
.,com.Group11.soulfulplates.controllers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.services; com.Group11.soulfulplates.models.
.,com.Group11.soulfulplates.controllers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.payload.request; com.Group11.soulfulplates.services; com.Group11.soulfulplates.payload.response.
.,com.Group11.soulfulplates.models,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Address; User; Wishlist; WishlistItem; CartItem; Order; Payment; Rating; Store; Transaction; MenuItem]; [Category]; [ERole; Role]; [Subcategory]. LCC (Lack of Component Cohesion) = 0.27
.,com.Group11.soulfulplates.payload.request,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CreateOrderRequest]; [CreateOrderRequest.SelectedItem]; [CreatePaymentRequest]; [CreateRatingRequest]; [ForgetPasswordRequest]; [GetOrderDetailsRequest]; [GetOrdersRequest]; [GetStoreOrders]; [LoginRequest]; [PaymentFilterRequestBuyer]; [PaymentFilterRequestSeller]; [ResetPasswordRequest]; [SignupRequest]; [SubcategoryRequest; SubcategoryRequestTest]; [UpdatePaymentStatusRequest]; [UpdateTransactionStatusRequest]; [WishlistRequest]. LCC (Lack of Component Cohesion) = 0.94
.,com.Group11.soulfulplates.payload.response,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CreateOrderResponse]; [CreateOrderResponse.Data]; [JwtResponse; JwtResponseTest]; [MenuItemResponse; MenuItemResponseTest]; [MessageResponse]; [OrderDetailsResponse; OrderDetailsResponseTest]; [OrderDetailsResponse.OrderDetails]; [OrderDetailsResponse.MenuItemDTO]; [OrdersResponse; OrdersResponseTest]; [OrdersResponse.OrderData]; [OrdersResponse.ItemData]; [OtpResponse]; [PaymentFilterResponse]. LCC (Lack of Component Cohesion) = 0.76
.,com.Group11.soulfulplates.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressRepository]; [CartItemRepository]; [CategoryRepository]; [MenuItemRepository]; [OrderRepository]; [PaymentRepository]; [RatingRepository]; [RoleRepository]; [StoreRepository]; [SubcategoryRepository]; [TransactionRepository]; [UserRepository]; [WishlistRepository]. LCC (Lack of Component Cohesion) = 1.0
.,com.Group11.soulfulplates.services,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressService]; [OrderService]; [PaymentService]; [RatingService]; [StoreService]; [TransactionService]. LCC (Lack of Component Cohesion) = 1.0
.,com.Group11.soulfulplates.services.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressServiceImpl; AddressServiceImplTest]; [CategoryServiceImpl; CategoryServiceImplTest]; [MenuItemServiceImpl; MenuItemServiceImplTest]; [OrderServiceImpl; OrderServiceImplTest]; [PaymentServiceImpl; PaymentServiceImplTest]; [RatingServiceImpl; RatingServiceImplTest]; [StoreServiceImpl; StoreServiceImplTest]; [SubcategoryServiceImpl; SubcategoryServiceImplTest]; [TransactionServiceImpl; TransactionServiceImplTest]; [WishlistServiceImpl; WishlistServiceImplTest]. LCC (Lack of Component Cohesion) = 0.5
.,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.models; com.Group11.soulfulplates.payload.request; com.Group11.soulfulplates.repository.
.,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.models; com.Group11.soulfulplates.repository.
.,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.payload.response; com.Group11.soulfulplates.repository.
.,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.models; com.Group11.soulfulplates.payload.response; com.Group11.soulfulplates.repository.
.,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.payload.request; com.Group11.soulfulplates.models.
