Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
.,com.Group11.soulfulplates.controllers,AuthController,registerUser,0,6,1,58,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.repository.RoleRepository; com.Group11.soulfulplates.models.Store
.,com.Group11.soulfulplates.controllers,AuthController,authenticateUser,43,4,1,113,0,com.Group11.soulfulplates.security.services.UserDetailsImpl,com.Group11.soulfulplates.security.services.UserDetailsImpl; com.Group11.soulfulplates.repository.StoreRepository; com.Group11.soulfulplates.models.Store; com.Group11.soulfulplates.security.jwt.JwtUtils
.,com.Group11.soulfulplates.controllers,AuthController,generateForgetPasswordCode,26,2,1,177,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.payload.response.OtpResponse
.,com.Group11.soulfulplates.controllers,AuthController,resetPassword,22,3,1,206,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
.,com.Group11.soulfulplates.controllers,CategoryController,getAllByStoreId,9,1,0,20,0,,
.,com.Group11.soulfulplates.controllers,CategoryController,createCategory,9,1,1,31,0,,
.,com.Group11.soulfulplates.controllers,CategoryController,updateCategory,9,1,2,43,0,,
.,com.Group11.soulfulplates.controllers,CategoryController,deleteCategory,9,1,1,55,0,,
.,com.Group11.soulfulplates.controllers,MenuItemController,createMenuItem,9,1,1,19,0,,
.,com.Group11.soulfulplates.controllers,MenuItemController,updateMenuItem,9,1,2,32,0,,
.,com.Group11.soulfulplates.controllers,MenuItemController,deleteMenuItem,9,1,1,44,0,,
.,com.Group11.soulfulplates.controllers,MenuItemController,getAllMenuItemsWithDetails,9,1,0,56,0,,
.,com.Group11.soulfulplates.controllers,MenuItemController,getAllMenuItemsWithDetails,9,1,1,69,0,,
.,com.Group11.soulfulplates.controllers,OrderController,createOrder,4,1,1,26,0,com.Group11.soulfulplates.services.OrderService,com.Group11.soulfulplates.services.OrderService
.,com.Group11.soulfulplates.controllers,OrderController,updateOrderStatus,9,2,1,33,0,com.Group11.soulfulplates.services.OrderService,com.Group11.soulfulplates.services.OrderService
.,com.Group11.soulfulplates.controllers,OrderController,getOrderDetails,12,1,1,66,0,com.Group11.soulfulplates.payload.request.GetOrderDetailsRequest,com.Group11.soulfulplates.payload.request.GetOrderDetailsRequest; com.Group11.soulfulplates.services.OrderService
.,com.Group11.soulfulplates.controllers,OrderController,getOrdersForUser,15,1,1,85,0,com.Group11.soulfulplates.payload.request.GetOrdersRequest,com.Group11.soulfulplates.payload.request.GetOrdersRequest; com.Group11.soulfulplates.services.OrderService
.,com.Group11.soulfulplates.controllers,OrderController,getOrdersForStore,15,1,1,110,0,com.Group11.soulfulplates.services.OrderService,com.Group11.soulfulplates.services.OrderService; com.Group11.soulfulplates.payload.request.GetStoreOrders
