Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testGenerateForgetPasswordCode_EmailDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testGenerateForgetPasswordCode_EmailDoesNotExist,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.AuthController.generateForgetPasswordCode; com.Group11.soulfulplates.repository.UserRepository.existsByEmail
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_Failure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_NoPassword,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser_UserDetailsNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testRegisterUser_NullSignupRequest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,AuthControllerTest,testResetPassword_NullRequest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testEditCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testDeleteCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testGetAllByStoreId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateCategory_Error,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testCreateCategory_Error,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getCode; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getDescription; com.Group11.soulfulplates.controllers.CategoryController.createCategory
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testEditCategory_Error,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testEditCategory_Error,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getCode; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getDescription; com.Group11.soulfulplates.controllers.CategoryController.updateCategory
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testDeleteCategory_Error,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testGetAllByStoreId_Error,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,CategoryControllerTest,testGetAllByStoreId_Error,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getCode; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getDescription; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getData; com.Group11.soulfulplates.controllers.CategoryController.getAllByStoreId
.,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testCreateMenuItem_ValidMenuItem_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testEditMenuItem_MenuItemExists_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testDeleteCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testGetAllMenuItemsWithDetails,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testGetAllMenuItemsWithDetailsByStoreId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,MenuItemControllerTest,testDeleteMenuItemFailure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testUpdateOrderStatus,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testUpdateOrderStatus,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.services.OrderService.updateOrderStatus; com.Group11.soulfulplates.controllers.OrderController.updateOrderStatus
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrderDetails,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrderDetails,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.OrderController.getOrderDetails; com.Group11.soulfulplates.services.OrderService.getOrderDetails
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testCreateOrder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testCreateOrder,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.OrderController.createOrder; com.Group11.soulfulplates.services.OrderService.createOrder
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrdersForUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrdersForUser,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.OrderController.getOrdersForUser; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setUserId; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setStatus; com.Group11.soulfulplates.services.OrderService.getOrdersForUser; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setLimit; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setOffset
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrdersForStore,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrdersForStore,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.request.GetStoreOrders.setStatus; com.Group11.soulfulplates.services.OrderService.getOrdersForStore; com.Group11.soulfulplates.controllers.OrderController.getOrdersForStore; com.Group11.soulfulplates.payload.request.GetStoreOrders.setStoreId; com.Group11.soulfulplates.payload.request.GetStoreOrders.setLimit; com.Group11.soulfulplates.payload.request.GetStoreOrders.setOffset
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrderDetails_ExceptionCaught,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.Group11.soulfulplates.controllers,OrderControllerTest,testGetOrderDetails_ExceptionCaught,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.request.GetOrderDetailsRequest.setOrderId; com.Group11.soulfulplates.controllers.OrderController.getOrderDetails; com.Group11.soulfulplates.payload.request.GetOrderDetailsRequest.getUserId; com.Group11.soulfulplates.payload.request.GetOrderDetailsRequest.getOrderId; com.Group11.soulfulplates.payload.request.GetOrderDetailsRequest.setUserId; com.Group11.soulfulplates.services.OrderService.getOrderDetails
.,com.Group11.soulfulplates.controllers,OrderControllerTest,getOrdersForUser_ExceptionCaught,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,OrderControllerTest,getOrdersForUser_ExceptionCaught,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.payload.request.GetOrdersRequest.getStatus; com.Group11.soulfulplates.controllers.OrderController.getOrdersForUser; com.Group11.soulfulplates.payload.request.GetOrdersRequest.getOffset; com.Group11.soulfulplates.services.OrderService.getOrdersForUser; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getDescription; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setLimit; com.Group11.soulfulplates.payload.request.GetOrdersRequest.getUserId; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getCode; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setUserId; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setStatus; com.Group11.soulfulplates.payload.request.GetOrdersRequest.getLimit; com.Group11.soulfulplates.payload.request.GetOrdersRequest.setOffset; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getData
.,com.Group11.soulfulplates.controllers,OrderControllerTest,getOrdersForStore_ExceptionCaught,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,OrderControllerTest,getOrdersForStore_ExceptionCaught,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.services.OrderService.getOrdersForStore; com.Group11.soulfulplates.payload.request.GetStoreOrders.setLimit; com.Group11.soulfulplates.payload.request.GetStoreOrders.setOffset; com.Group11.soulfulplates.payload.request.GetStoreOrders.getLimit; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getDescription; com.Group11.soulfulplates.payload.request.GetStoreOrders.setStatus; com.Group11.soulfulplates.controllers.OrderController.getOrdersForStore; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getCode; com.Group11.soulfulplates.payload.request.GetStoreOrders.setStoreId; com.Group11.soulfulplates.payload.request.GetStoreOrders.getStoreId; com.Group11.soulfulplates.payload.request.GetStoreOrders.getOffset; com.Group11.soulfulplates.payload.response.OrderDetailsResponse.getData; com.Group11.soulfulplates.payload.request.GetStoreOrders.getStatus
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterSellerPayments_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterSellerPayments_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.PaymentController.filterSellerPayments; com.Group11.soulfulplates.services.PaymentService.filterPayments
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterSellerPayments_Exception,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterSellerPayments_Exception,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.PaymentController.filterSellerPayments; com.Group11.soulfulplates.services.PaymentService.filterPayments
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterPayments_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterPayments_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.PaymentController.filterPayments; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setStatus; com.Group11.soulfulplates.services.PaymentService.filterPayments; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setUserId; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setLimit; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setOffset
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterPayments_Exception,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,PaymentControllerTest,testFilterPayments_Exception,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.PaymentController.filterPayments; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setStatus; com.Group11.soulfulplates.services.PaymentService.filterPayments; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setUserId; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setLimit; com.Group11.soulfulplates.payload.request.PaymentFilterRequestBuyer.setOffset
.,com.Group11.soulfulplates.controllers,RatingControllerTest,addRating_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,RatingControllerTest,addRating_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.controllers.RatingController.addRating; com.Group11.soulfulplates.payload.request.CreateRatingRequest.setStoreId; com.Group11.soulfulplates.payload.request.CreateRatingRequest.setRating
.,com.Group11.soulfulplates.controllers,RatingControllerTest,getAverageRating_Success,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,RatingControllerTest,getAverageRating_Success,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.services.RatingService.getAverageRating; com.Group11.soulfulplates.controllers.RatingController.getAverageRating
.,com.Group11.soulfulplates.controllers,RatingControllerTest,getAverageRating_Exception,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.Group11.soulfulplates.controllers,RatingControllerTest,getAverageRating_Exception,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.Group11.soulfulplates.services.RatingService.getAverageRating; com.Group11.soulfulplates.controllers.RatingController.getAverageRating
.,com.Group11.soulfulplates.controllers,StoreControllerTest,testGetStoreById_NotFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
